allele	asc_allele	threshold	tag
IGLJ1*01	IGLJ1-G1*01	0.001	J
IGLJ2*01	IGLJ2-G2*01	0.001	J
IGLJ3*02	IGLJ2-G2*02	0.001	J
IGLJ4*01	IGLJ3-G3*01	0.001	J
IGLJ5*01	IGLJ4-G4*01	0.001	J
IGLJ5*02	IGLJ4-G4*02	0.001	J
IGLJ6*01	IGLJ1-G5*01	0.001	J
IGLJ7*01	IGLJ2-G6*01	0.001	J
IGLJ7*02	IGLJ2-G6*02	0.001	J
IGLV1-36*01	IGLV1-G1*01	0.001	V
IGLV1-36*01_c330g	IGLV1-G1*02	0.001	V
IGLV1-40*01	IGLV1-G2*01	0.001	V
IGLV1-41*01	IGLV1-G3*01	0.001	V
IGLV1-41*02	IGLV1-G3*02	0.001	V
IGLV1-44*01	IGLV1-G4*01	0.001	V
IGLV1-44*02	IGLV1-G4*02	0.001	V
IGLV1-44*03	IGLV1-G4*03	0.001	V
IGLV1-47*01	IGLV1-G5*01	0.001	V
IGLV1-47*02	IGLV1-G5*02	0.001	V
IGLV1-50*01	IGLV1-G6*01	0.001	V
IGLV1-51*01	IGLV1-G7*01	0.001	V
IGLV1-51*02	IGLV1-G7*02	0.001	V
IGLV10-54*01	IGLV2-G8*01	0.001	V
IGLV10-54*02	IGLV2-G8*02	0.001	V
IGLV10-54*04	IGLV2-G8*03	0.001	V
IGLV10-54*05	IGLV2-G8*04	0.001	V
IGLV11-55*01	IGLV3-G9*01	0.001	V
IGLV11-55*02	IGLV3-G9*02	0.001	V
IGLV2-11*01	IGLV4-G10*01	0.001	V
IGLV2-14*01	IGLV4-G11*01	0.001	V
IGLV2-14*01_g168t_t198g_c337t	IGLV4-G11*02	0.001	V
IGLV2-14*03	IGLV4-G11*03	0.001	V
IGLV2-14*04	IGLV4-G11*04	0.001	V
IGLV2-14*05	IGLV4-G11*05	0.001	V
IGLV2-18*01	IGLV4-G12*01	0.001	V
IGLV2-18*02	IGLV4-G12*02	0.001	V
IGLV2-23*02	IGLV4-G13*01	0.001	V
IGLV2-23*03	IGLV4-G13*02	0.001	V
IGLV2-23*04	IGLV4-G13*03	0.001	V
IGLV2-33*01	IGLV4-G14*01	0.001	V
IGLV2-8*01	IGLV4-G15*01	0.001	V
IGLV2-8*03	IGLV4-G15*02	0.001	V
IGLV3-1*01	IGLV5-G16*01	0.001	V
IGLV3-10*01	IGLV5-G17*01	0.001	V
IGLV3-12*01	IGLV6-G18*01	0.001	V
IGLV3-12*02	IGLV6-G18*02	0.001	V
IGLV3-13*01	IGLV5-G19*01	0.001	V
IGLV3-16*01	IGLV5-G20*01	0.001	V
IGLV3-16*01_t145g_t146c	IGLV5-G20*02	0.001	V
IGLV3-19*01	IGLV6-G21*01	0.001	V
IGLV3-19*02	IGLV6-G21*02	0.001	V
IGLV3-2*03	IGLV7-G22*01	0.001	V
IGLV3-21*02	IGLV6-G23*01	0.001	V
IGLV3-21*03	IGLV6-G23*02	0.001	V
IGLV3-21*04	IGLV6-G23*03	0.001	V
IGLV3-22*01	IGLV5-G24*01	0.001	V
IGLV3-22*03	IGLV5-G24*02	0.001	V
IGLV3-25*02	IGLV5-G25*01	0.001	V
IGLV3-25*03	IGLV5-G25*02	0.001	V
IGLV3-25*03_g74c	IGLV5-G25*03	0.001	V
IGLV3-27*01	IGLV5-G26*01	0.001	V
IGLV3-9*01	IGLV6-G27*01	0.001	V
IGLV4-3*01	IGLV8-G28*01	0.001	V
IGLV4-60*02	IGLV8-G29*01	0.001	V
IGLV4-60*03	IGLV8-G29*02	0.001	V
IGLV4-60*03_c259t	IGLV8-G29*03	0.001	V
IGLV4-69*01	IGLV8-G30*01	0.001	V
IGLV5-37*01	IGLV9-G31*01	0.001	V
IGLV5-37*02	IGLV9-G31*02	0.001	V
IGLV5-37*03	IGLV9-G31*03	0.001	V
IGLV5-39*01	IGLV9-G32*01	0.001	V
IGLV5-45*01	IGLV9-G33*01	0.001	V
IGLV5-45*02	IGLV9-G33*02	0.001	V
IGLV5-45*03	IGLV9-G33*03	0.001	V
IGLV5-45*04	IGLV9-G33*04	0.001	V
IGLV5-48*01	IGLV9-G34*01	0.001	V
IGLV5-48*02	IGLV9-G35*01	0.001	V
IGLV5-52*01	IGLV9-G36*01	0.001	V
IGLV6-57*01	IGLV10-G37*01	0.001	V
IGLV6-57*02	IGLV10-G37*02	0.001	V
IGLV6-57*03	IGLV10-G37*03	0.001	V
IGLV6-57*04	IGLV10-G37*04	0.001	V
IGLV7-43*01	IGLV11-G38*01	0.001	V
IGLV7-46*01	IGLV11-G39*01	0.001	V
IGLV7-46*02	IGLV11-G39*02	0.001	V
IGLV7-46*04	IGLV11-G39*03	0.001	V
IGLV8-61*01	IGLV12-G40*01	0.001	V
IGLV8-61*02	IGLV12-G40*02	0.001	V
IGLV9-49*01	IGLV13-G41*01	0.001	V
